scenario_id,timestamp,alpha_legit,alpha_legit_std,kurtosis_legit,kurtosis_legit_std,hurst_legit,hurst_legit_std,alpha_anom,alpha_anom_std,kurtosis_anom,kurtosis_anom_std,hurst_anom,hurst_anom_std,c0,c1,N,domain_size,scenario,n_seeds,ambient,delta_alpha,delta_kurtosis,delta_hurst,rho,sqrt_rho,sigma_c_mean,sigma_c_std,sigma_c_lo,sigma_c_hi,theta_c_mean,theta_c_std,theta_c_lo,theta_c_hi,status,error_msg
1,2025-11-13T17:32:32.537991,2.138226343204691,0.4793273135338583,7.321344982555811,1.5157447309755832,0.6683034212968044,0.08208630040815802,2.371754708655522,0.6303745688382443,7.977054871121784,1.0747481521507445,0.5090994548526336,0.14539328671011553,0.16388660689590026,0.291951815857634,562,75,RingSwarm,50,0.75,0.2335283654508311,0.6557098885659736,0.15920396644417079,0.09991111111111112,0.31608718909679195,0.36182000000000003,0.05015264300114203,0.353,0.5073499999999975,0.11436666675900127,0.015852607952005878,0.11157877775116755,0.1603668353882566,completed,
3,2025-11-13T18:07:47.009385,3.957198939591991,0.6304251600303417,6.2380128823832575,1.5487809425700128,0.6289675129725818,0.09150810094129255,2.39457802517774,0.32823229701966883,2.676803304710896,2.5439484641117427,0.829491768060248,0.1440804357944179,0.34402431808351097,0.41434119806587577,562,75,RingSwarm,50,0.75,1.5626209144142509,3.5612095776723613,0.20052425508766625,0.09991111111111112,0.31608718909679195,0.44708,0.1371439885667615,0.353,0.647,0.14131626050139373,0.043349457847590214,0.11157877775116755,0.2045084113456244,completed,
5,2025-11-13T18:43:00.895341,3.135141661308722,0.5211097656275305,5.8657591631207815,1.2990642420565388,0.6645650183549865,0.04794935089943604,1.7863558749565065,0.6360057001823278,5.399946842515714,3.266512712536255,0.6838021178137054,0.09374246715325438,0.19320457757686732,0.4579163297881015,562,75,RingSwarm,50,0.75,1.3487857863522155,0.4658123206050675,0.019237099458718876,0.09991111111111112,0.31608718909679195,0.36769999999999997,0.06407581447004791,0.353,0.647,0.11622525943089039,0.020253544084924992,0.11157877775116755,0.2045084113456244,completed,
7,2025-11-13T19:18:15.967099,3.815527976391518,0.33204572280254063,7.641097031711508,0.949201171464757,0.6566404780231243,0.0672655482520774,2.0356389949377913,0.5471397317730092,2.4518229859228233,3.487094309067084,0.8472132481340617,0.09458337542482947,0.4597164513684133,0.4902835486315867,562,75,RingSwarm,50,0.75,1.7798889814537269,5.189274045788685,0.19057277011093743,0.09991111111111112,0.31608718909679195,0.4000399999999999,0.1077821803453614,0.353,0.647,0.12644751912628063,0.03406856642008878,0.11157877775116755,0.2045084113456244,completed,
9,2025-11-13T19:53:29.558928,2.074680555150669,0.5874265709733608,5.178759164387329,0.6976494217112892,0.40229764421887787,0.10129347837869217,2.1375460576176777,0.4719837562345583,5.254727042306669,1.8858403729027922,0.6061372967080827,0.12996424717513372,0.19213899125002465,0.3799089970000853,562,75,RingSwarm,50,0.75,0.06286550246700884,0.07596787791934023,0.20383965248920483,0.09991111111111112,0.31608718909679195,0.3971,0.10497899789957987,0.353,0.647,0.1255182227903361,0.03318251636027623,0.11157877775116755,0.2045084113456244,completed,
11,2025-11-13T20:28:44.717640,2.387565697035458,0.36719331188835225,4.288625194593932,0.6133623094612324,0.6239638032314279,0.03796164345145482,1.770596650702647,0.7617007857858349,4.979712296327785,2.2987381121067667,0.8423006327775476,0.03399097865187301,0.2811872312825543,0.05901092338072927,562,75,RingSwarm,50,0.75,0.6169690463328112,0.6910871017338529,0.21833682954611977,0.09991111111111112,0.31608718909679195,0.37652,0.07976020060155317,0.353,0.647,0.11901314843872411,0.025211177609941196,0.11157877775116755,0.2045084113456244,completed,
13,2025-11-13T21:04:02.044654,2.2459245665584544,0.4576208851378031,4.702735850814668,2.221353354947329,0.49757580536267576,0.10918299599974893,3.4862179781764455,0.7348850473808928,8.950274726580785,2.38131320597496,0.8381895178608296,0.09604053295869001,0.10483138725171307,0.28520280486102645,562,75,RingSwarm,50,0.75,1.2402934116179911,4.247538875766117,0.34061371249815386,0.09991111111111112,0.31608718909679195,0.40298,0.11043604302943855,0.353,0.647,0.12737681546222523,0.0349074184161476,0.11157877775116755,0.2045084113456244,completed,
15,2025-11-13T21:39:19.125273,3.4932229502574286,0.21610266006893492,4.9616026921800795,2.3447835018952707,0.4361707557222305,0.1112269828792952,3.3160660765912793,0.2382514954356196,2.3986077481637658,3.2062169526432256,0.7858291461773972,0.12756273982911565,0.56737084936596,0.19194881441724831,562,75,RingSwarm,50,0.75,0.1771568736661493,2.562994944016314,0.34965839045516667,0.09991111111111112,0.31608718909679195,0.36769999999999997,0.06407581447004791,0.353,0.647,0.11622525943089039,0.020253544084924992,0.11157877775116755,0.2045084113456244,completed,
17,2025-11-13T22:14:36.334290,3.231928652864092,0.43626902720388117,4.834046856621407,1.6488127316466994,0.5792604155548201,0.060144461473692165,2.9774063114040796,0.49775871325546883,4.498288142335806,2.7301119990150844,0.7209632343609336,0.08485778829927035,0.263782875871862,0.5440457603050723,562,75,RingSwarm,50,0.75,0.2545223414600124,0.33575871428560156,0.14170281880611346,0.09991111111111112,0.31608718909679195,0.36182000000000003,0.05015264300114202,0.353,0.5073499999999975,0.11436666675900127,0.015852607952005878,0.11157877775116755,0.1603668353882566,completed,
19,2025-11-13T22:49:51.597200,3.3668611196706486,0.33781566392576956,7.230614119236016,0.8559154079346543,0.44316676275450145,0.03284856453523154,1.2557010611772879,0.6732906274206669,14.215494277035216,0.5182445868021758,0.4627138080127432,0.07739891370311466,0.5759374945635419,0.23716375521049554,562,75,RingSwarm,50,0.75,2.1111600584933607,6.9848801577992,0.019547045258241746,0.09991111111111112,0.31608718909679195,0.38534,0.09198958854131266,0.353,0.647,0.12180103744655782,0.029076730468193982,0.11157877775116755,0.2045084113456244,completed,
